player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Marcus Smart,smartma01,2021,RS,BOS,2307,1100,1.424948730292395,.9883831720746491,2.413331902367044,1.270123686199121,-1.394500832416983,-.1243771462178616,1.456710668839303,.5535792907813238,2.010289959620627,2.683355699213729,2.683355699213729,0,1.979947171303325,1.137960921581426,3.117908092884751,.4453612358423757
Dennis Smith Jr.,smithde03,2021,RS,NYK,56,28,-7.313270433008054,5.815171472783609,-1.498098960224445,-12.71070818263787,-5.029738163248123,-17.74044634588599,-8.832861415938366,3.836082268583753,-4.996779147354613,-.0315118522180293,-.0315118522180293,0,-3.509246481389332,5.400002512962122,1.89075603157279,-1.839170572000539
Dennis Smith Jr.,smithde03,2021,RS,DET,762,373,-1.00955162202763,4.204442801268239,3.194891179240608,-.4005233555568112,2.321478116999032,1.920954761442221,-.9089912936323021,4.086893370656261,3.177902077023959,1.115567906456675,1.115567906456675,0,-1.340098001778361,3.648557634455207,2.308459632676846,-1.122116811114581
Ish Smith,smithis01,2021,RS,WAS,1017,467,-1.835481241455968,.7982012303748377,-1.03728001108113,-.3331741756421273,.6314817405694588,.2983075649273316,-1.615910160902829,.8342542747401804,-.781655886162649,.4659807421108706,.4659807421108706,0,-1.926654990624224,.6099505740923146,-1.31670441653191,-.6465580541025893
Jalen Smith,smithja04,2021,RS,PHO,161,74,-6.912106556632875,-2.077918785518698,-8.990025342151572,-6.277196689328176,-2.653991537412027,-8.931188226740204,-7.258132120384679,-2.38856192971108,-9.646694050095759,-.2616535213206047,-.2616535213206047,0,-5.373762638992658,-4.990382111365156,-10.36414475035781,.4924768122709096
Tony Snell,snellto01,2021,RS,ATL,1718,839,-.1476015008437355,-1.942248569956204,-2.089850070799939,.5093370458447329,.255076757346271,.7644138031910039,-.0770805280133023,-1.593204688948694,-1.670285216961996,.4561698024085614,.4561698024085614,0,-1.371265705559576,-2.961946944577618,-4.333212650137194,-1.312872460168058
Ray Spalding,spaldra01,2021,RS,HOU,45,19,-10.50171369318899,-2.878137911113841,-13.37985160430283,-11.6229535116586,-1.187592687836928,-12.81054619949553,-11.30404055457795,-2.650984058629296,-13.95502461320724,-.112730793376169,-.112730793376169,0,-10.03391951149049,-4.403940477177763,-14.43785998866826,3.82135352345269
Cassius Stanley,stanlca01,2021,RS,IND,82,38,-.819377226242902,-6.119298396342721,-6.938675622585623,-18.60106973539441,10.57228451041938,-8.028785224975033,-4.555394426681342,-2.996308132431461,-7.551702559112803,-.093412773159154,-.093412773159154,0,-4.076728338628214,-3.558719417866595,-7.635447756494809,.3462420169839092
Lamar Stevens,stevela01,2021,RS,CLE,958,460,-3.226174226884529,.1021277159104152,-3.124046510974114,-3.560445001511885,.3624213012914034,-3.198023700220482,-3.416716781042478,.1865264509304756,-3.230190330112002,-.1120956954464228,-.1120956954464228,0,-3.650500267884725,-.6850777602514708,-4.335578028136196,-.5384933078256646
Isaiah Stewart,stewais01,2021,RS,DET,2047,984,-1.221789419298003,2.951587535514084,1.729798116216081,-1.121968948654128,1.641829672965591,.5198607243114635,-1.256121538596556,2.887344415104661,1.631222876508105,2.193212050821188,2.193212050821188,0,-1.821744004021155,2.882341836339581,1.060597832318426,-.2902135083491306
Max Strus,strusma01,2021,RS,MIA,690,334,1.424110721927,-.4716559750571853,.9524547468698145,-.7965819668472818,-3.901943017814476,-4.698524984661758,1.089675052296623,-1.22304154515509,-.133366492858467,.4452361144520035,.4452361144520035,0,1.652109828712613,-1.810269448366261,-.1581596196536483,-.1485298719274024
